Engineered,Normal,Ligand,Catalyst,Substrate,Solvent,Reaction,VSA,Structural,Electronic,Experimental
EE/Ligand_quant_mmol Qt,BalabanJ_Cat,Ligand_Barlan_L1,Cat_Structure_VCl2(salen),BertzCT_Sub,BertzCT_Sol,Oxidant_Group,EState_VSA1_Lig,BalabanJ_Lig,MaxAbsEStateIndex_Lig,Catalyst_quant_mmol
EE/Oxidant_quant_mmol Qt,BalabanJ_Sub,Ligand_Barlan_L4,Cat_Structure_VO(salen),Chi0v_Sub,Chi0v_Sol,Oxidant_quant_mmol,EState_VSA10_Cat,BertzCT_Cat,MaxAbsPartialCharge_Cat,Oxidant_quant_mmol
EE/Substrate_quant_mmol Qt,BertzCT_Lig,Ligand_Barlan_L6,Catalyst_quant_mmol,Chi1n_Sub,Chi1n_Sol,Oxidant_TrOOH,EState_VSA10_Sol,BertzCT_Sol,MaxAbsPartialCharge_Sol,Substrate_quant_mmol
EE/Temp_K Qt,BertzCT_Sol,Ligand_Bolm_L1,BalabanJ_Cat,Chi1v_Sub,Chi1v_Sol,EE,EState_VSA10_Sub,BertzCT_Sub,MaxAbsPartialCharge_Sub,Temp_K
EE/Time_h Qt,BertzCT_Sub,Ligand_Bolm_L2,BertzCT_Cat,Chi2n_Sub,Chi2n_Sol,Group,EState_VSA11_Cat,Chi0_Cat,MaxEStateIndex_Cat,Time_h
EVSA 1-Lig,Cat_Group,Ligand_Bolm_L3,Chi0_Cat,Chi2v_Sub,Chi2v_Sol,Solution_vol_mL,EState_VSA11_Lig,Chi0_Lig,MaxEStateIndex_Lig,
EVSA 10-Lig,Cat_Structure_VCl2(salen),Ligand_Bolm_L4,Chi0n_Cat,Chi3n_Sub,Chi3n_Sol,Temp_K,EState_VSA11_Sol,Chi0_Sol,MaxEStateIndex_Sol,
EVSA 2-Lig,Cat_Structure_VO(acac)2,Ligand_Bolm_L5,Chi0v_Cat,Chi3v_Sub,Chi3v_Sol,Time_h,EState_VSA11_Sub,Chi0_Sub,MaxEStateIndex_Sub,
EVSA 3-Lig,Cat_Structure_VO(OiPr)3,Ligand_Bourhani_L1,Chi1_Cat,Chi4n_Sub,Chi4n_Sol,Additive_quant_mL,EState_VSA2_Cat,Chi0n_Cat,MaxPartialCharge_Cat,
EVSA 4-Lig,Cat_Structure_VO(salen),Ligand_Bourhani_L2,Chi1n_Cat,Chi4v_Sub,Chi4v_Sol,,EState_VSA2_Lig,Chi0n_Lig,MaxPartialCharge_Lig,
